Year,State,District,In-migrants
1982 - 1986,Madhya Pradesh,Sehore,37343
1982 - 1986,Madhya Pradesh,Seoni,50859
1982 - 1986,Madhya Pradesh,Shahdol,90445
1982 - 1986,Madhya Pradesh,Shajapur,47822
1982 - 1986,Madhya Pradesh,Shivpuri,38169
1982 - 1986,Madhya Pradesh,Sidhi,72424
1982 - 1986,Madhya Pradesh,Tikamgarh,36097
1982 - 1986,Madhya Pradesh,Ujjain,70251
1982 - 1986,Madhya Pradesh,Vidisha,48695
1982 - 1986,Manipur,Bishnupur,1567
1982 - 1986,Manipur,Chandel,2464
1982 - 1986,Manipur,Churachandpur,3085
1982 - 1986,Manipur,Imphal West,6568
1982 - 1986,Manipur,Senapati,1649
1982 - 1986,Manipur,Tamenglong,671
1982 - 1986,Manipur,Thoubal,1000
1982 - 1986,Manipur,Ukhrul,437
1982 - 1986,Meghalaya,East Garo Hills,3640
1982 - 1986,Meghalaya,East Khasi Hills,16443
1982 - 1986,Meghalaya,West Garo Hills,12199
1982 - 1986,Meghalaya,West Jaintia Hills,4860
1982 - 1986,Meghalaya,West Khasi Hills,3536
1982 - 1986,Mizoram,Aizawl,13893
1982 - 1986,Mizoram,Lawngtlai,2848
1982 - 1986,Mizoram,Lunglei,8729
1982 - 1986,Nagaland,Kohima,16945
1982 - 1986,Nagaland,Mokokchung,2419
1982 - 1986,Nagaland,Mon,1676
1982 - 1986,Nagaland,Phek,1203
1982 - 1986,Nagaland,Tuensang,2965
1982 - 1986,Nagaland,Wokha,1636
1982 - 1986,Nagaland,Zunheboto,764
1982 - 1986,Puducherry,Karaikal,8184
1982 - 1986,Puducherry,Mahe,1980
1982 - 1986,Puducherry,Puducherry,34132
1982 - 1986,Puducherry,Yanam,2282
1982 - 1986,Uttar Pradesh,Agra,74299
1982 - 1986,Uttar Pradesh,Aligarh,87779
1982 - 1986,Uttar Pradesh,Allahabad,136532
1982 - 1986,Uttar Pradesh,Badaun,69052
1982 - 1986,Uttar Pradesh,Banda,57514
1982 - 1986,Uttar Pradesh,Barabanki,41080
1982 - 1986,Uttar Pradesh,Bareilly,85000
1982 - 1986,Uttar Pradesh,Bijnor,79639
1982 - 1986,Uttar Pradesh,Bulandshahr,51030
1982 - 1986,Uttar Pradesh,Etah,75933
1982 - 1986,Uttar Pradesh,Etawah,42355
1982 - 1986,Uttar Pradesh,Faizabad,73985
1982 - 1986,Uttar Pradesh,Farrukhabad,55424
1982 - 1986,Uttar Pradesh,Fatehpur,65025
1982 - 1986,Uttar Pradesh,Firozabad,53924
1982 - 1986,Uttar Pradesh,Ghaziabad,77220
1982 - 1986,Uttar Pradesh,Hamirpur,39736
1982 - 1986,Uttar Pradesh,Hardoi,90415
1982 - 1986,Uttar Pradesh,Jalaun,32750
1982 - 1986,Uttar Pradesh,Jhansi,57139
1982 - 1986,Uttar Pradesh,Kanpur Rural,50858
1982 - 1986,Uttar Pradesh,Kanpur Urban,69715
1982 - 1986,Uttar Pradesh,Kheri,45163
1982 - 1986,Uttar Pradesh,Lalitpur,23740
1982 - 1986,Uttar Pradesh,Lucknow,115224
1982 - 1986,Uttar Pradesh,Mainpuri,42533
1982 - 1986,Uttar Pradesh,Mathura,72722
1982 - 1986,Uttar Pradesh,Mau,36930
1982 - 1986,Uttar Pradesh,Meerut,78552
1982 - 1986,Uttar Pradesh,Moradabad,72706
1982 - 1986,Uttar Pradesh,Muzaffarnagar,102631
1982 - 1986,Uttar Pradesh,Pilibhit,40380
1982 - 1986,Uttar Pradesh,Pratapgarh,66209
1982 - 1986,Uttar Pradesh,Rae Bareli,74455
1982 - 1986,Uttar Pradesh,Rampur,36852
1982 - 1986,Uttar Pradesh,Saharanpur,73116
1982 - 1986,Uttar Pradesh,Shahjahanpur,49868
1982 - 1986,Uttar Pradesh,Sitapur,76814
1982 - 1986,Uttar Pradesh,Sultanpur,69408
1982 - 1986,Uttar Pradesh,Unnao,79143
1982 - 1986,Uttarakhand,Chamoli,15494
1982 - 1986,Uttarakhand,Dehradun,70733
1982 - 1986,Uttarakhand,Haridwar,49815
1982 - 1986,Uttarakhand,Nainital,94592
1982 - 1986,Uttarakhand,Pauri Garhwal,20979
1982 - 1986,Uttarakhand,Uttarkashi,8110
1987 - 1991,Andaman And Nicobar Islands,Andamans,23784
