Year,State,District,AvgSyllabicCount,In-migrants
1977 - 1981,Uttar Pradesh,Sultanpur,2.579974535391416,76057
1977 - 1981,Uttar Pradesh,Unnao,2.51206160075031,75203
1977 - 1981,Uttarakhand,Chamoli,2.0813811752,12804
1977 - 1981,Uttarakhand,Dehradun,2.3306239405453573,52379
1977 - 1981,Uttarakhand,Haridwar,2.2746275650000003,43061
1977 - 1981,Uttarakhand,Nainital,2.413819109271356,78290
1977 - 1981,Uttarakhand,Pauri Garhwal,2.0723665481999998,15252
1977 - 1981,Uttarakhand,Uttarkashi,2.1907320730000004,6932
1982 - 1986,Andhra Pradesh,Anantapur,3.0793711814,153749
1982 - 1986,Andhra Pradesh,Chittoor,2.9565900112,149252
1982 - 1986,Andhra Pradesh,East Godavari,3.332071337,253382
1982 - 1986,Andhra Pradesh,Guntur,3.140866462,204839
1982 - 1986,Andhra Pradesh,Kadapa,3.1068137211999995,106660
1982 - 1986,Andhra Pradesh,Krishna,3.0586983246000004,211623
1982 - 1986,Andhra Pradesh,Kurnool,2.9319487827999997,133150
1982 - 1986,Andhra Pradesh,Nellore,3.0975402152,126486
1982 - 1986,Andhra Pradesh,Prakasam,3.2188780701999997,110203
1982 - 1986,Andhra Pradesh,Srikakulam,2.3074035999504336,93641
1982 - 1986,Andhra Pradesh,Visakhapatnam,3.1029014628000007,200366
1982 - 1986,Andhra Pradesh,Vizianagaram,2.6145670217529573,84033
1982 - 1986,Andhra Pradesh,West Godavari,3.2950346260000005,212549
1982 - 1986,Arunachal Pradesh,Changlang,2.1385773372,7378
1982 - 1986,Arunachal Pradesh,Dibang Valley,2.1809259182,5815
1982 - 1986,Arunachal Pradesh,East Kameng,1.9033995486000002,1364
1982 - 1986,Arunachal Pradesh,East Siang,2.0047401876,4795
1982 - 1986,Arunachal Pradesh,Lohit,2.3042825586,15373
1982 - 1986,Arunachal Pradesh,Lower Subansiri,1.8151151316,13876
1982 - 1986,Arunachal Pradesh,Papum Pare,2.0048853284,13876
